GEO,CRTFCTN_DT,ELGBLTY_SW,FAC_NAME,PRVDR_NUM,SKLTN_REC_SW,STATE_RGN_CD,TRMNTN_EXPRTN_DT,ZIP_CD,CBSA_CD,LONGITUDE,LATITUDE,GRADE_FAC_NAME,GRADEN,GRADEN.01,GEOGRAPHY.1,TOTAL_CIVILIAN_NONINSTITUTIONALIZED_POPULATION,AVG-MEDIAN_AGE_IN_YEARS,TOTAL_HOUSEHOLDS_ESTIMATE,PROP_FAMILY_HOUSEHOLDS,PROP_NONFAMILY_HOUSEHOLDS,AVERAGE_HOUSEHOLD_SIZE,AVERAGE_FAMILY_SIZE,GPS_LIVING_WITH_GCS_UNDER_18_YEARS,PROP__GPS_CARING_FOR_GC_OVER_18,NUMBER_OF_VETERANS,VETERANS_AS_PROP_OF_POPULATION,UNEMPLOYED_VETERANS_PROP_OF_LABOUR_FORCE,HISPANI_OR_LATINO,HISPANIC/LATINO_PROP,WHITE,WHITE_PROP,BLACK_ESTIMATE,BLACK_PROP,NATIVE_AMERICAN/ALASKAN,NATIVE_AMERICAN/ALASKAN_PROP,ASIAN,ASIAN_PROP,NATIVE_HAWAIIAN/PACIFIC_ISLANDER,NATIVE_HAWAIIAN/PACIFIC_ISLANDER_PROP,"OTHER_RACE_ONLY,_NOT_HISPANIC/LATINO","OTHER_RACE_ONLY,_NOT_HISPANIC/LATINO_PROP","TWO_OR_MORE_RACES_ALONE,_NOT_HISPANIC_OR_LATINO_ESTIMATE","TWO_OR_MORE_RACES_ALONE,_NOT_HISPANIC_OR_LATINO_PROP",PROP_NATIVE_BORN,PROP_FOREIGN_BORN,PROP_OF_FOREIGN_BORN_WHO_ARE_NATURALIZED_U.S._CITIZEN,POP_5_YEARS_+,POP_5_YEARS_+_FOREIGN_LANGUAGE_AT_HOME,POP_5_YEARS_+_W/_POOR_ENGLISH,MEDIAN_HOUSEHOLD_INCOME_(DOLLARS),MEAN_HOUSEHOLD_INCOME_(DOLLARS),MEDIAN_FAMILY_INCOME_(DOLLARS),MEAN_FAMILY_INCOME_(DOLLARS),PER_CAPITA_INCOME_(DOLLARS),ALL_FAMILIES%,MARRIED_COUPLE_FAMILIES%,FEMALE_HOUSEHOLDER_NO_HUSBAND%,ALL_PEOPLE%,UNDER_18%,PERCENT_(LABOR_FORCE_PARTICIPATION_RATE),LABOUR_FORCE_%,EMPLOYED_16+%,EMPLOYED_%_16+,UNEMPLOYMENT%,MILITARY%,NOT_IN_LABOURFORCE%,"POPULATION_25_YEARS_
AND_OVER%",PERCENT_LESS_THAN_9TH_GRADE%,"PERCENT_9TH_TO_12TH_GRADE,_NO_DIPLOMA",PERCENT_HIGH_SCHOOL_GRADUATE_(INCLUDES_EQUIVALENCY),"PERCENT_SOME_COLLEGE,_NO_DEGREE",PERCENT_ASSOCIATE'S_DEGREE,PERCENT_BACHELOR'S_DEGREE,PERCENT_GRADUATE_OR_PROFESSIONAL_DEGREE,PERCENT_HIGH_SCHOOL_GRADUATE_OR_HIGHER,POPULATION_25_YEARS_AND_OVER_WITH_EARNINGS,LESS_THAN_HIGH_SCHOOL_GRADUATE_EARNINGS_(DOLLARS),HIGH_SCHOOL_GRADUATE__EARNINGS_(DOLLARS),SOME_COLLEGE_OR_ASSOCIATE'S_DEGREE_EARNINGS_(DOLLARS),BACHELOR'S_DEGREE_EARNINGS_(DOLLARS),GRADUATE_OR_PROFESSIONAL_DEGREE_EARNINGS_(DOLLARS),MEDIAN_VALUE_(DOLLARS)
RICHMOND,19940921,Y,PERMANENTE MEDICAL GROUP,05D0063123,N,M2,19950930,94801,36084,-122.3605023,37.93712,KAISER FOUNDATION HOSPITAL - RICHMOND,60,0.6,RICHMOND CITY,109042,35.1,37029,67.6,32.4,2.94,3.46,N,N,3610,4.2,4.3,52425,47.6,18753,17,19542,17.8,273,0.2,13931,12.7,149,0.1,686,0.6,4278,3.9,65,35,40.6,103539,54.5,23,38553,57208,53833,68122,28700,10.8,7,33.3,19.1,42,33.5,32,27.1,4.9,15.4,1.5,66.5,2011,1,8.7,31.5,30.7,9.1,12.6,6.3,90.3,31506,-,26563,38000,-,103250,210500
RICHMOND,20060814,N,KFH RICHMOND,05D1057496,Y,M2,20200813,94801,36084,-122.3605023,37.93712,KAISER FOUNDATION HOSPITAL - RICHMOND,60,0.6,RICHMOND CITY,109042,35.1,37029,67.6,32.4,2.94,3.46,N,N,3610,4.2,4.3,52425,47.6,18753,17,19542,17.8,273,0.2,13931,12.7,149,0.1,686,0.6,4278,3.9,65,35,40.6,103539,54.5,23,53456,54450,53603,55123,21611,24.3,26.8,-,35.3,67.9,34.6,34.6,24.2,10.4,30.1,0,65.4,278,0,2.9,31.3,48.6,12.6,0,4.7,97.1,25063,-,-,26563,-,-,588700
RICHMOND,20060814,N,"TPMG, INC RICHMOND MOB WAIVED LAB",05D1057497,Y,M2,20090921,94801,36084,-122.3605023,37.93712,KAISER FOUNDATION HOSPITAL - RICHMOND,60,0.6,RICHMOND CITY,109042,35.1,37029,67.6,32.4,2.94,3.46,N,N,3610,4.2,4.3,52425,47.6,18753,17,19542,17.8,273,0.2,13931,12.7,149,0.1,686,0.6,4278,3.9,65,35,40.6,103539,54.5,23,69919,68309,73688,77385,26117,0,0,0,0,0,63.6,63.6,59.5,4.1,6.4,0,36.4,667,4.8,18.6,12.1,37.9,15.9,7.2,3.4,76.6,37784,-,42125,35650,-,-,597200
SAN RAMON,20070305,Y,SAN RAMON REGIONAL MEDICAL CENTER,05D0600921,N,M2,20190102,94583,36084,-121.958214,37.775892,SAN RAMON REGIONAL MEDICAL CENTER,80,0.8,SAN RAMON CITY,75895,38.8,24317,81.1,18.9,3.12,3.51,N,N,1837,3.5,0,4235,5.6,25886,34.1,2499,3.3,270,0.4,37802,49.8,385,0.5,45,0.1,4800,6.3,65.4,34.6,61.5,71960,43,10.3,73239,74209,75644,82939,28311,0,0,0,2.9,0,58.7,58.7,54.6,4.1,7,0,41.3,559,4.7,6.4,36.5,30.9,7.2,9.8,4.5,88.9,40128,-,39737,32467,-,-,416500
SAN RAMON,19951002,N,CENTER FOR REPRODUCTIVE MEDICINE,05D0906457,Y,LAB,19971001,94583,36084,-121.958214,37.775892,SAN RAMON REGIONAL MEDICAL CENTER,80,0.8,SAN RAMON CITY,75895,38.8,24317,81.1,18.9,3.12,3.51,N,N,1837,3.5,0,4235,5.6,25886,34.1,2499,3.3,270,0.4,37802,49.8,385,0.5,45,0.1,4800,6.3,65.4,34.6,61.5,71960,43,10.3,113300,85881,-,N,27303,0,0,-,6.5,0,79.6,79.6,79.6,0,0,0,20.4,145,68.3,0,0,22.8,0,9,0,31.7,21684,-,-,-,-,-,471800
WALNUT CREEK,19930120,N,JOHN MUIR MEDICAL CENTER WALNUT CREEK CAMPUS,05D0680025,Y,M2,20190227,94598,36084,-122.0408542,37.9130871,JOHN MUIR MEDICAL CENTER WALNUT CREEK CAMPUS,80,0.8,WALNUT CREEK CITY,69053,48.2,31648,55.4,44.6,2.18,2.92,N,N,3782,6.7,0,7324,10.5,43824,62.8,907,1.3,193,0.3,13339,19.1,161,0.2,217,0.3,3827,5.5,77,23,66.1,66284,26.2,10.2,72264,76115,73466,87584,27960,0,0,-,4.1,0,79.1,79.1,79.1,0,0,0,20.9,280,0,5.7,7.9,36.1,34.3,13.2,2.9,94.3,50833,-,-,-,-,-,723000
WALNUT CREEK,19930223,N,JOHN MUIR MEDICAL CENTER WALNUT CREEK CAMPUS,05D0691746,Y,M2,20181201,94598,36084,-122.0408542,37.9130871,JOHN MUIR MEDICAL CENTER WALNUT CREEK CAMPUS,80,0.8,WALNUT CREEK CITY,69053,48.2,31648,55.4,44.6,2.18,2.92,N,N,3782,6.7,0,7324,10.5,43824,62.8,907,1.3,193,0.3,13339,19.1,161,0.2,217,0.3,3827,5.5,77,23,66.1,66284,26.2,10.2,67351,73148,79738,88773,16126,6,0,10.8,13.4,40.8,26.2,26.2,22.9,3.4,12.8,0,73.8,5671,5.6,16.2,29,25.7,8.1,10.9,4.5,78.2,47842,-,46786,42273,58190,74375,467600
WALNUT CREEK,19940401,N,BLOOD BANK OF THE ALA CC MED ASSOC,05D0884503,Y,LAB,19970131,94598,36084,-122.0408542,37.9130871,JOHN MUIR MEDICAL CENTER WALNUT CREEK CAMPUS,80,0.8,WALNUT CREEK CITY,69053,48.2,31648,55.4,44.6,2.18,2.92,N,N,3782,6.7,0,7324,10.5,43824,62.8,907,1.3,193,0.3,13339,19.1,161,0.2,217,0.3,3827,5.5,77,23,66.1,66284,26.2,10.2,45278,61838,57188,72746,29432,6.7,1.1,17.7,10.7,23.7,55.5,55.5,51.3,4.2,7.5,0,44.5,3416,2,5.7,33,32.6,7.5,15.3,3.8,92.2,32338,-,25543,33417,52446,-,346300
WALNUT CREEK,19941128,N,SIERRA SURGICENTER,05D0894920,Y,M1,20081127,94598,36084,-122.0408542,37.9130871,JOHN MUIR MEDICAL CENTER WALNUT CREEK CAMPUS,80,0.8,WALNUT CREEK CITY,69053,48.2,31648,55.4,44.6,2.18,2.92,N,N,3782,6.7,0,7324,10.5,43824,62.8,907,1.3,193,0.3,13339,19.1,161,0.2,217,0.3,3827,5.5,77,23,66.1,66284,26.2,10.2,58125,74696,-,-,29979,-,-,-,43.8,-,75.3,75.3,69.9,5.5,7.3,0,24.7,65,0,0,46.2,24.6,0,20,9.2,100,-,-,-,-,21354,-,556600
WALNUT CREEK,19991123,N,AMERICAN RED CROSS BLOOD SERVICES,05D0967780,Y,LAB,20011124,94598,36084,-122.0408542,37.9130871,JOHN MUIR MEDICAL CENTER WALNUT CREEK CAMPUS,80,0.8,WALNUT CREEK CITY,69053,48.2,31648,55.4,44.6,2.18,2.92,N,N,3782,6.7,0,7324,10.5,43824,62.8,907,1.3,193,0.3,13339,19.1,161,0.2,217,0.3,3827,5.5,77,23,66.1,66284,26.2,10.2,84250,74465,89318,89964,29616,0,0,-,3.7,0,52.7,52.7,52.7,0,0,0,47.3,189,0,5.8,16.9,39.7,25.9,11.6,0,94.2,50341,-,-,60833,-,-,434200
BAKERSFIELD,19930122,N,BAKERSFIELD MEMORIAL HOSP LAB,05D0586209,Y,M1,20190102,93301,12540,-119.006857,35.3918393,BAKERSFIELD MEMORIAL HOSPITAL,100,1,BAKERSFIELD CITY,379196,31.3,118508,73.9,26.1,3.18,3.68,11115,35.2,13052,4.9,7.8,193927,50.9,120176,31.6,28012,7.4,967,0.3,26989,7.1,965,0.3,1598,0.4,8253,2.2,81.8,18.2,42.4,348592,42.9,14.1,48375,58463,59395,69703,28562,4.4,3.3,9.2,10.3,15.7,46.5,46.5,44,2.5,5.4,0,53.5,1665,0,1.7,17.8,40.7,9.4,19.8,10.7,98.3,27708,-,-,16370,-,78792,442100
BAKERSFIELD,19931201,N,KERN MEDICAL CENTER,05D0586435,Y,M1,20190227,93306,12540,-118.9700927,35.3828044,KERN MEDICAL CENTER,60,0.6,BAKERSFIELD CITY,379196,31.3,118508,73.9,26.1,3.18,3.68,11115,35.2,13052,4.9,7.8,193927,50.9,120176,31.6,28012,7.4,967,0.3,26989,7.1,965,0.3,1598,0.4,8253,2.2,81.8,18.2,42.4,348592,42.9,14.1,70307,74444,77545,85835,30951,0,0,0,2.4,0,55.2,54.9,48.2,6.7,12.2,0.2,44.8,1060,6.6,2.7,22.8,24.1,15.3,22.5,5.9,90.7,48151,-,53380,25403,48900,-,371800
BAKERSFIELD,19930329,N,BAKERSFIELD MEMORIAL HOSPITAL STAT LAB,05D0671960,Y,LAB,19940207,93301,12540,-119.006857,35.3918393,BAKERSFIELD MEMORIAL HOSPITAL,100,1,BAKERSFIELD CITY,379196,31.3,118508,73.9,26.1,3.18,3.68,11115,35.2,13052,4.9,7.8,193927,50.9,120176,31.6,28012,7.4,967,0.3,26989,7.1,965,0.3,1598,0.4,8253,2.2,81.8,18.2,42.4,348592,42.9,14.1,61591,67995,71607,75494,26106,9.1,11.4,0,13.2,13.8,72.3,72.3,67.9,4.4,6.1,0,27.7,690,14.1,4.9,37.1,22.2,13.8,4.6,3.3,81,36176,25230,44375,44191,46000,51429,790300
BAKERSFIELD,19930309,N,MERCY SOUTHWEST HOSPITAL,05D0686567,Y,LAB,20190102,93311,12540,-119.1124137,35.3511237,MERCY HOSPITAL - SOUTHWEST,80,0.8,BAKERSFIELD CITY,379196,31.3,118508,73.9,26.1,3.18,3.68,11115,35.2,13052,4.9,7.8,193927,50.9,120176,31.6,28012,7.4,967,0.3,26989,7.1,965,0.3,1598,0.4,8253,2.2,81.8,18.2,42.4,348592,42.9,14.1,96679,115390,109417,129568,40118,11.1,6,100,22.3,56.4,54.9,54.9,48.3,6.6,12,0,45.1,1364,2.5,2.5,33.4,39,8.7,10.6,3.4,95,35060,-,46197,25381,-,-,601400
BAKERSFIELD,19951004,N,MERCY MEDI CENTER-TRUXTUN,05D0906710,Y,LAB,20011003,93302,12540,-119.0271665,35.3731773,MERCY HOSPITAL - DOWNTOWN,80,0.8,BAKERSFIELD CITY,379196,31.3,118508,73.9,26.1,3.18,3.68,11115,35.2,13052,4.9,7.8,193927,50.9,120176,31.6,28012,7.4,967,0.3,26989,7.1,965,0.3,1598,0.4,8253,2.2,81.8,18.2,42.4,348592,42.9,14.1,-,39944,-,46537,17103,0,0,0,0,0,36.8,36.8,23.2,13.6,36.9,0,63.2,352,0,16.5,20.5,26.7,33,0,3.4,83.5,-,-,-,-,-,-,528300
BAKERSFIELD,19970729,N,MERCY MEDI CENTER SOUTHWEST,05D0931432,Y,M1,20050923,93311,12540,-119.1124137,35.3511237,MERCY HOSPITAL - SOUTHWEST,80,0.8,BAKERSFIELD CITY,379196,31.3,118508,73.9,26.1,3.18,3.68,11115,35.2,13052,4.9,7.8,193927,50.9,120176,31.6,28012,7.4,967,0.3,26989,7.1,965,0.3,1598,0.4,8253,2.2,81.8,18.2,42.4,348592,42.9,14.1,44353,59296,58021,77762,28309,13.2,5.2,51.6,21.9,41.8,46.7,46.7,44.5,2.1,4.6,0,53.3,1838,3.2,7.3,29,25.2,8.4,15.1,11.8,89.5,29500,30833,18125,36442,-,-,583200
BAKERSFIELD,20111129,Y,BAKERSFIELD HEART HOSPITAL,05D0959586,N,M1,20190320,93308,12540,-119.0399564,35.3848085,BAKERSFIELD HEART HOSPITAL,40,0.4,BAKERSFIELD CITY,379196,31.3,118508,73.9,26.1,3.18,3.68,11115,35.2,13052,4.9,7.8,193927,50.9,120176,31.6,28012,7.4,967,0.3,26989,7.1,965,0.3,1598,0.4,8253,2.2,81.8,18.2,42.4,348592,42.9,14.1,-,N,-,N,47117,0,0,-,0,-,80,80,80,0,0,0,20,35,0,0,0,80,20,0,0,100,46313,-,-,46313,-,-,262400
BAKERSFIELD,20130729,N,SAN JOAQUIN COMMUNITY HOSPITAL ANNEX LABORATORY,05D2063207,Y,M1,20200509,93301,12540,-119.0205429,35.3833475,ADVENTIST HEALTH - BAKERSFIELD,100,1,BAKERSFIELD CITY,379196,31.3,118508,73.9,26.1,3.18,3.68,11115,35.2,13052,4.9,7.8,193927,50.9,120176,31.6,28012,7.4,967,0.3,26989,7.1,965,0.3,1598,0.4,8253,2.2,81.8,18.2,42.4,348592,42.9,14.1,46516,66251,61054,81547,26304,12,6.6,30.6,20.5,21.5,55.6,55.6,50.5,5,9.1,0,44.4,145918,4.1,7.1,22.6,29.3,10.2,17.7,8.9,88.8,32720,21804,25680,28658,49286,62260,557700
LOS ANGELES,20081125,Y,KFH WEST LOS ANGELES BLOOD GAS LABORATORY,05D0543484,N,M1,20200916,90034,31084,-118.3759001,34.0383466,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,60,0.6,LOS ANGELES COUNTY,10096702,36.6,3311231,66.4,33.6,3.02,3.71,319944,19.3,264635,3.3,6.5,4939605,48.6,2644767,26,794235,7.8,23470,0.2,1482797,14.6,24573,0.2,29496,0.3,224564,2.2,65.7,34.3,52.4,9545528,56.9,23.5,56250,71409,65227,82390,31233,3.9,0,0,9,26.7,49.8,49.8,45.3,4.5,9.1,0,50.2,459,0,13.5,16.3,41.4,9.6,5.7,13.5,86.5,29808,-,58056,25250,-,-,647000
LOS ANGELES,20081125,Y,KAISER FOUNDATION HOSPITAL,05D0665518,N,M1,20190102,90034,31084,-118.3759001,34.0383466,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,60,0.6,LOS ANGELES COUNTY,10096702,36.6,3311231,66.4,33.6,3.02,3.71,319944,19.3,264635,3.3,6.5,4939605,48.6,2644767,26,794235,7.8,23470,0.2,1482797,14.6,24573,0.2,29496,0.3,224564,2.2,65.7,34.3,52.4,9545528,56.9,23.5,36071,46322,40776,55419,20541,12.7,12.2,22.2,19,21.8,40.5,40.5,32.8,7.7,19,0,59.5,1008,1.6,11.9,38,27.9,10.9,6.7,3,86.5,17546,8542,17500,23125,-,-,412500
LOS ANGELES,20100324,Y,KECK HOSPITAL OF USC BLOOD GAS LABORATORY,05D0671362,N,M1,20190208,90033,31084,-118.2012607,34.0619943,KECK HOSPITAL OF USC,80,0.8,LOS ANGELES COUNTY,10096702,36.6,3311231,66.4,33.6,3.02,3.71,319944,19.3,264635,3.3,6.5,4939605,48.6,2644767,26,794235,7.8,23470,0.2,1482797,14.6,24573,0.2,29496,0.3,224564,2.2,65.7,34.3,52.4,9545528,56.9,23.5,53125,66106,55542,66014,20824,15.7,10.2,43.7,21.5,42.4,58.2,58.2,51.8,6.4,11,0,41.8,1211,15.1,9.7,32.5,33.4,5.2,2.8,1.3,75.2,26034,23594,16908,27167,-,218000,441000
LOS ANGELES,19921222,N,USC UNIVERSITY HOSPITAL LAB,05D0686682,Y,M1,20110101,90033,31084,-118.2012607,34.0619943,KECK HOSPITAL OF USC,80,0.8,LOS ANGELES COUNTY,10096702,36.6,3311231,66.4,33.6,3.02,3.71,319944,19.3,264635,3.3,6.5,4939605,48.6,2644767,26,794235,7.8,23470,0.2,1482797,14.6,24573,0.2,29496,0.3,224564,2.2,65.7,34.3,52.4,9545528,56.9,23.5,63056,86183,59792,103691,41247,0,0,0,2.1,0,35.6,35.6,32.5,3.1,8.6,0,64.4,794,1,0,18.3,26.6,3.5,38.5,12.1,99,41250,-,-,27036,46328,86250,274100
LOS ANGELES,19930518,N,SCPMG NUCLEAR MEDICINE,05D0726362,Y,LAB,19960831,90034,31084,-118.3759001,34.0383466,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,60,0.6,LOS ANGELES COUNTY,10096702,36.6,3311231,66.4,33.6,3.02,3.71,319944,19.3,264635,3.3,6.5,4939605,48.6,2644767,26,794235,7.8,23470,0.2,1482797,14.6,24573,0.2,29496,0.3,224564,2.2,65.7,34.3,52.4,9545528,56.9,23.5,-,N,-,N,134890,0,0,-,0,-,77.9,77.9,55.8,22.1,28.3,0,22.1,77,0,0,22.1,55.8,22.1,0,0,100,-,-,-,-,-,-,802500
LOS ANGELES,19940104,N,USCUH OPERATING ROOM BLOOD GAS LAB,05D0881103,Y,LAB,19990611,90033,31084,-118.2012607,34.0619943,KECK HOSPITAL OF USC,80,0.8,LOS ANGELES COUNTY,10096702,36.6,3311231,66.4,33.6,3.02,3.71,319944,19.3,264635,3.3,6.5,4939605,48.6,2644767,26,794235,7.8,23470,0.2,1482797,14.6,24573,0.2,29496,0.3,224564,2.2,65.7,34.3,52.4,9545528,56.9,23.5,75588,77454,96923,104687,34344,0,0,-,13.8,0,59.6,59.6,48.6,11.1,18.5,0,40.4,520,0,3.3,14.6,41.3,9.2,25.2,6.3,96.7,68199,-,-,68971,-,-,405000
LOS ANGELES,19940617,N,KAISER FOUNDATION HOSPITAL WEST LOS ANGELES,05D0887815,Y,M1,20200616,90034,31084,-118.3759001,34.0383466,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,60,0.6,LOS ANGELES COUNTY,10096702,36.6,3311231,66.4,33.6,3.02,3.71,319944,19.3,264635,3.3,6.5,4939605,48.6,2644767,26,794235,7.8,23470,0.2,1482797,14.6,24573,0.2,29496,0.3,224564,2.2,65.7,34.3,52.4,9545528,56.9,23.5,110938,84276,115357,104159,31356,0,0,-,0,0,39.4,39.4,39.4,0,0,0,60.6,58,0,12.1,24.1,29.3,17.2,8.6,8.6,87.9,-,-,-,-,-,-,907400
LOS ANGELES,19991021,N,TENET CORE LAB NORTH,05D0966626,Y,LAB,20001106,90033,31084,-118.2012607,34.0619943,KECK HOSPITAL OF USC,80,0.8,LOS ANGELES COUNTY,10096702,36.6,3311231,66.4,33.6,3.02,3.71,319944,19.3,264635,3.3,6.5,4939605,48.6,2644767,26,794235,7.8,23470,0.2,1482797,14.6,24573,0.2,29496,0.3,224564,2.2,65.7,34.3,52.4,9545528,56.9,23.5,45337,64769,66208,84545,26434,12.8,5.1,32.5,24.6,19.5,63.7,63.6,58.4,5.2,8.2,0,36.3,52433,2.4,4.8,17.3,27.9,10.6,24.3,12.6,92.7,35334,20487,25042,28126,47075,61233,536700
LOS ANGELES,20160121,N,SCPMG WEST LOS ANGELES MEDICAL OFFICE,05D2107748,Y,M1,20200120,90034,31084,-118.3759001,34.0383466,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,60,0.6,LOS ANGELES COUNTY,10096702,36.6,3311231,66.4,33.6,3.02,3.71,319944,19.3,264635,3.3,6.5,4939605,48.6,2644767,26,794235,7.8,23470,0.2,1482797,14.6,24573,0.2,29496,0.3,224564,2.2,65.7,34.3,52.4,9545528,56.9,23.5,54075,51383,-,N,18984,0,0,-,0,0,16.3,16.3,0,16.3,100,0,83.7,221,0,46.2,8.1,23.1,0,22.6,0,53.8,-,-,-,-,-,-,1237500
BALDWIN PARK,19961108,N,SO CALIFORNIA PERMANENTE MEDICAL GROUP,05D0921943,Y,LAB,19981107,91706,31084,-117.9864524,34.0655016,KAISER FOUNDATION HOSPITAL - BALDWIN PARK MEDICAL CENTER,100,1,BALDWIN PARK CITY,76083,34.1,17725,86.4,13.6,4.28,4.56,N,N,943,1.6,37.9,57851,75.7,2009,2.6,1759,2.3,91,0.1,12714,16.6,1566,2,309,0.4,93,0.1,57.3,42.7,53.6,72081,80.3,35.2,61465,62599,63571,74470,21838,0,0,-,7,0,51.5,51.5,44.3,7.2,14,0,48.5,769,0,2.9,22,25.5,15.9,22,11.8,97.1,26458,-,-,37891,25694,-,420800
BURBANK,19930325,N,PROVIDENCE SAINT JOSEPH MEDICAL CENTER,05D0865850,Y,M1,20150420,91505,31084,-118.3281063,34.1558174,PROVIDENCE SAINT JOSEPH MEDICAL CENTER OF BURBANK,80,0.8,BURBANK CITY,104434,38.9,40981,58.2,41.8,2.54,3.33,N,N,3686,4.3,0,20838,19.9,62957,60.1,4080,3.9,301,0.3,11219,10.7,0,0,463,0.4,4965,4.7,71.3,28.7,67.1,98854,42.4,14.6,40393,51108,54554,65016,21514,9.7,2.4,31.6,15.9,24.8,33.3,33.3,27.8,5.5,16.6,0,66.7,595,0,3,21.8,47.9,7.4,13.4,6.4,97,31875,-,-,34196,-,-,760300
DOWNEY,20171011,Y,"DOWNEY REGIONAL MEDICAL CENTER - HOSPITAL, INC.",05D0675485,N,M1,20191130,90241,31084,-118.130298,33.935296,PIH HEALTH HOSPITAL - DOWNEY,60,0.6,DOWNEY CITY,112636,34.7,33578,78.2,21.8,3.35,3.79,4436,17.9,2226,2.6,0,87522,77.4,13696,12.1,3053,2.7,99,0.1,6702,5.9,488,0.4,240,0.2,1289,1.1,67.9,32.1,66.3,105297,71,18.1,81372,89840,103017,111995,33138,6.9,7.6,0,10.3,2.2,62.2,62.2,59.1,3.1,5,0,37.8,4017,1.6,3.9,16.1,24.5,12.8,24.6,16.6,94.6,43774,10608,26750,32622,65321,72564,559200
DOWNEY,19940518,N,DOWNEY COMMUNITY HOSPITAL NURSING DEPT,05D0886418,Y,LAB,20200517,90241,31084,-118.130298,33.935296,PIH HEALTH HOSPITAL - DOWNEY,60,0.6,DOWNEY CITY,112636,34.7,33578,78.2,21.8,3.35,3.79,4436,17.9,2226,2.6,0,87522,77.4,13696,12.1,3053,2.7,99,0.1,6702,5.9,488,0.4,240,0.2,1289,1.1,67.9,32.1,66.3,105297,71,18.1,-,42125,-,60664,23409,0,0,-,0,0,44.9,44.9,38.4,6.5,14.4,0,55.1,263,0,6.5,56.7,11.8,0,6.1,19,93.5,66250,-,-,-,-,-,581300
DOWNEY,19950405,N,DOWNEY EMER PHYS MED GR/DOWNEY COM HSP,05D0899693,Y,LAB,19990129,90241,31084,-118.130298,33.935296,PIH HEALTH HOSPITAL - DOWNEY,60,0.6,DOWNEY CITY,112636,34.7,33578,78.2,21.8,3.35,3.79,4436,17.9,2226,2.6,0,87522,77.4,13696,12.1,3053,2.7,99,0.1,6702,5.9,488,0.4,240,0.2,1289,1.1,67.9,32.1,66.3,105297,71,18.1,-,55471,-,107631,34914,0,0,0,18.1,0,51.8,51.8,49.2,2.5,4.9,0,48.2,514,0,7.2,18.7,29.6,21.4,4.9,18.3,92.8,-,-,-,-,-,52083,240800
DOWNEY,19980812,N,DOWNEY ACUTE CARE MEDICAL GROUP,05D0949831,Y,LAB,20140811,90241,31084,-118.130298,33.935296,PIH HEALTH HOSPITAL - DOWNEY,60,0.6,DOWNEY CITY,112636,34.7,33578,78.2,21.8,3.35,3.79,4436,17.9,2226,2.6,0,87522,77.4,13696,12.1,3053,2.7,99,0.1,6702,5.9,488,0.4,240,0.2,1289,1.1,67.9,32.1,66.3,105297,71,18.1,40724,48545,44466,53867,18042,18.9,15.8,31,22.4,25.7,57.2,57.2,51.3,5.9,10.4,0,42.8,3938,18.5,10.9,19.9,29.5,6.9,11.2,3.1,70.6,26431,23217,26486,25779,53148,71289,210800
LOS ANGELES,20081125,Y,KFH WEST LOS ANGELES BLOOD GAS LABORATORY,05D0543484,N,M1,20200916,90034,31084,-118.3759001,34.0383466,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,60,0.6,EAST LOS ANGELES CDP,125389,31.8,31910,79.8,20.2,3.93,4.47,N,N,1182,1.3,16.7,121254,96.6,1593,1.3,59,0,793,0.6,1809,1.4,24,0,0,0,10,0,59.8,40.2,40.5,116631,90,40.8,-,35913,-,N,17641,48.3,48.3,-,36.7,100,73.5,73.5,73.5,0,0,0,26.5,103,0,8.7,35,36.9,0,19.4,0,91.3,13897,-,-,-,-,-,1014000
LOS ANGELES,20081125,Y,KAISER FOUNDATION HOSPITAL,05D0665518,N,M1,20190102,90034,31084,-118.3759001,34.0383466,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,60,0.6,EAST LOS ANGELES CDP,125389,31.8,31910,79.8,20.2,3.93,4.47,N,N,1182,1.3,16.7,121254,96.6,1593,1.3,59,0,793,0.6,1809,1.4,24,0,0,0,10,0,59.8,40.2,40.5,116631,90,40.8,41722,53764,49167,60048,26341,10.2,5.9,26.6,14.4,7.6,41.9,41.9,39.8,2.1,5,0,58.1,1964,1,9.4,27.5,38.2,7.3,12.7,3.8,89.6,24452,16726,26618,23299,50375,-,409900
LOS ANGELES,20100324,Y,KECK HOSPITAL OF USC BLOOD GAS LABORATORY,05D0671362,N,M1,20190208,90033,31084,-118.2012607,34.0619943,KECK HOSPITAL OF USC,80,0.8,EAST LOS ANGELES CDP,125389,31.8,31910,79.8,20.2,3.93,4.47,N,N,1182,1.3,16.7,121254,96.6,1593,1.3,59,0,793,0.6,1809,1.4,24,0,0,0,10,0,59.8,40.2,40.5,116631,90,40.8,45683,52338,50407,58735,21591,10,4,31.3,17.2,24.9,44.8,44.8,41,3.8,8.5,0,55.2,8941,1.9,7.7,28.2,34.2,10.4,12.7,4.9,90.5,28462,26875,19338,30943,41607,69900,253700
